Update:,2015-02-21 00:07:41 +0900
緑Lv,黄Lv,赤Lv,楽曲名,BSC,BR,ADV,AR,EXT,ER
1,5,7,RPG,0,N,0,N,0,N
4,7,9,R.P.G.～Rockin' Playing Game,0,N,0,N,868573,A
3,6,8,愛,0,N,0,N,0,N
5,7,9,I/O,0,N,0,N,982926,SSS
4,6,8,Icicles,0,N,0,N,0,N
3,7,9,eyes,0,N,0,N,0,N
2,5,8,愛する覚悟,0,N,0,N,0,N
4,6,8,愛と勇気の三度笠ポン太,0,N,0,N,0,N
3,8,10,アイネクライネ,0,N,0,N,952146,SS
3,4,7,あいのうた,0,N,0,N,0,N
6,9,10,愛は不死鳥の様に,0,N,0,N,883903,A
4,8,10,I'm so Happy,0,N,949980,S,947964,S
4,5,8,I love マミー,0,N,0,N,0,N
6,7,9,Across the nightmare,0,N,0,N,0,N
5,7,9,Asterism,0,N,0,N,0,N
6,9,10,アストライアの双皿,0,N,935161,S,905391,S
5,8,9,athletic meet of sound toy,0,N,0,N,0,N
4,7,9,attack in the minor key,0,N,0,N,941109,S
5,8,10,anemone,0,N,0,N,962407,SS
2,6,8,a burning bullet,0,N,0,N,0,N
3,6,7,a fact of life,0,N,0,N,994428,SSS
3,7,9,Ahead Of The Light,0,N,0,N,0,N
3,6,9,天ノ弱,0,N,0,N,995599,SSS
4,8,9,Amalgamation,0,N,0,N,982298,SSS
4,7,9,雨ノチHello,0,N,0,N,0,N
3,7,9,Arousing,0,N,0,N,935520,S
5,8,10,新たな幕開け,0,N,0,N,936684,S
5,7,9,アルストロメリア,0,N,0,N,935091,S
5,7,10,ALBIDA,0,N,0,N,908891,S
5,8,10,Our Faith,0,N,0,N,907702,S
2,5,8,いーあるふぁんくらぶ,985561,SSS,989065,SSS,986654,SSS
7,10,10,yellow head joe,0,N,946763,S,881327,A
5,9,10,Ignis Danse,0,N,0,N,921408,S
3,6,9,イ号零型,0,N,0,N,929780,S
3,6,9,いっぽんでもニンジン,0,N,0,N,961427,SS
5,8,10,Idola,0,N,0,N,967906,SS
4,7,9,イブの時代っ！,0,N,0,N,980106,SSS
6,7,9,IN THE NAME OF LOVE,0,N,0,N,965629,SS
4,7,9,In Scottish Highlands,0,N,0,N,707579,C
2,7,8,INVISIBLE WORLD,0,N,0,N,0,N
